treatment, SSC, TTA,STR,Redness
1,NA,NA,NA,0.24
1,4.1,0.415364238,9.870854592,0.28
1,4.4,0.503598159,8.737124873,0.17
2,4.5,0.523451292,8.596788405,0.25
2,4.7,0.527793035,8.905005731,0.29
2,4.5,0.529523049,8.49821364,0.26
3,4.4,0.491560878,8.951078482,0.3
3,4.5,0.542558788,8.294032087,0.36
3,NA,NA,NA,0.29
4,4.7,0.513226837,9.157744024,0.38
4,NA,NA,NA,0.44
4,4.7,0.490354638,9.584899647,0.47
5,4.6,0.541949861,8.487870066,0.41
5,4.4,0.536419876,8.202529762,0.53
5,4.1,0.588163184,6.970854537,0.49
6,3.8,0.443556793,8.567110362,0.69
6,4.8,0.492877971,9.73871888,0.55
6,4.6,0.428014212,10.74730667,0.67
7,4.7,0.486085578,9.669079291,0.74
7,4.2,0.504792332,8.320253165,0.61
7,4.2,0.4692142,8.951135745,0.54
8,4.6,0.449320777,10.2376748,0.79
8,4.6,0.484399057,9.496302543,0.84
8,4.5,0.469223127,9.590320122,0.84
9,5.2,0.458930567,11.33069004,0.9
9,4.8,0.450704225,10.65,0.93
9,4.6,0.448038469,10.26697553,0.92
10,4.2,0.380894325,11.02668042,0.92
10,4.4,0.440103648,9.997644928,0.91
10,4.5,0.435690343,10.3284364,0.93
11,5.5,0.425040128,12.93995468,0.95
11,5,0.372131605,13.43610682,0.97
11,4.6,0.404571429,11.3700565,0.94
12,5.2,0.414393969,12.54844516,0.97
12,4.7,0.39855827,11.79250402,0.96
12,5.2,0.383795853,13.54886968,0.94